ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group	mice	celltypes
GO:0006909	GO:0006909	phagocytosis	8/198	390/28943	0.00561778570716998	0.0468477334410783	0.0358265681294435	Camk1d/Cyba/Igha/Igkc/Pparg/Pycard/Syk/Tgm2	8	-1	SPF	EC (Car1 high)
GO:0007229	GO:0007229	integrin-mediated signaling pathway	4/198	104/28943	0.00573802871493388	0.0472241447109979	0.0361144267517486	Fyb2/Isg15/Itgb6/Syk	4	-1	SPF	EC (Car1 high)
GO:0090288	GO:0090288	negative regulation of cellular response to growth factor stimulus	4/198	104/28943	0.00573802871493388	0.0472241447109979	0.0361144267517486	Pparg/Skil/Smad7/Sorl1	4	-1	SPF	EC (Car1 high)
GO:0090199	GO:0090199	regulation of release of cytochrome c from mitochondria	3/198	53/28943	0.00574571466154146	0.0472241447109979	0.0361144267517486	Gpx1/Higd1a/Pycard	3	-1	SPF	EC (Car1 high)
GO:0001820	GO:0001820	serotonin secretion	2/198	17/28943	0.005918776058094	0.0481699655985877	0.0368377385104723	Lgals3/Syk	2	-1	SPF	EC (Car1 high)
GO:0032604	GO:0032604	granulocyte macrophage colony-stimulating factor production	2/198	17/28943	0.005918776058094	0.0481699655985877	0.0368377385104723	Il18/Syk	2	-1	SPF	EC (Car1 high)
GO:0033194	GO:0033194	response to hydroperoxide	2/198	17/28943	0.005918776058094	0.0481699655985877	0.0368377385104723	Cd38/Gpx1	2	-1	SPF	EC (Car1 high)
GO:00064571	GO:0006457	protein folding	16/132	169/28943	7.77545718529037e-17	2.14447109170308e-13	1.612384279476e-13	Ahsa1/Ahsa2/Chordc1/Dnaja1/Fkbp4/Hsp90aa1/Hsp90ab1/Hspa1b/Hspa4l/Hspa8/Hspb1/Hspd1/Hspe1/Hsph1/Ptges3/St13	16	1	GF	EC (Hmgcs2 high)
GO:00510851	GO:0051085	chaperone cofactor-dependent protein refolding	6/132	32/28943	6.59750172932051e-09	3.63918195389319e-06	2.7362270330024e-06	Hspa1b/Hspa8/Hspe1/Hsph1/Ptges3/St13	6	1	GF	EC (Hmgcs2 high)
GO:00706331	GO:0070633	transepithelial transport	6/132	32/28943	6.59750172932051e-09	3.63918195389319e-06	2.7362270330024e-06	Abcb1a/Aqp1/Cftr/Edn1/Slc12a2/Slc5a1	6	1	GF	EC (Hmgcs2 high)
GO:00094102	GO:0009410	response to xenobiotic stimulus	12/132	317/28943	2.61648697130723e-08	9.02033883358166e-06	6.78220964930952e-06	Abcb1a/Akr1c12/Akr1c13/Aldh1a1/Cftr/Cntnap2/Cyp2c65/Cyp2d26/Cyp2j6/Gsto1/Tfrc/Vav3	12	1	GF	EC (Hmgcs2 high)
GO:0006986	GO:0006986	response to unfolded protein	8/132	116/28943	6.35160741940638e-08	1.9464148069692e-05	1.46346977967609e-05	Hsp90aa1/Hspa1b/Hspa4l/Hspa8/Hspb1/Hspd1/Hsph1/Tmem33	8	1	GF	EC (Hmgcs2 high)
GO:00466881	GO:0046688	response to copper ion	5/132	28/28943	1.65164997506179e-07	4.14113693747312e-05	3.11363679509257e-05	Aoc1/Aqp1/Mt1/Mt2/Sord	5	1	GF	EC (Hmgcs2 high)
GO:0033559	GO:0033559	unsaturated fatty acid metabolic process	8/132	133/28943	1.83604054690297e-07	4.21983319029866e-05	3.17280690999899e-05	Ces2e/Cyp2c65/Cyp2d26/Cyp2j6/Cyp4f14/Edn1/Hpgd/Ptges3	8	1	GF	EC (Hmgcs2 high)
GO:0031647	GO:0031647	regulation of protein stability	11/132	312/28943	2.08428658379762e-07	4.42189415239526e-05	3.32473244540997e-05	Afm/Atp1b1/Hsp90aa1/Hsp90ab1/Hspa8/Hspd1/Ptges3/Rnf128/Rpl5/Rtn4/Tardbp	11	1	GF	EC (Hmgcs2 high)
GO:00066902	GO:0006690	icosanoid metabolic process	8/132	142/28943	3.03745449009643e-07	5.58486632245729e-05	4.19914761087015e-05	Ces2e/Cyp2c65/Cyp2d26/Cyp2j6/Cyp4f14/Edn1/Hpgd/Ptges3	8	1	GF	EC (Hmgcs2 high)
GO:00094081	GO:0009408	response to heat	7/132	102/28943	4.50453590022657e-07	7.76469375801554e-05	5.83811560753048e-05	Chordc1/Cntnap2/Dnaja1/Hsp90aa1/Hsp90ab1/Hspa1b/Hspb1	7	1	GF	EC (Hmgcs2 high)
GO:00712801	GO:0071280	cellular response to copper ion	4/132	18/28943	1.20359352326729e-06	0.000193468295590549	0.000145464883902669	Aoc1/Aqp1/Mt1/Mt2	4	1	GF	EC (Hmgcs2 high)
GO:0048545	GO:0048545	response to steroid hormone	9/132	232/28943	1.2626647282922e-06	0.000193468295590549	0.000145464883902669	Aqp1/Areg/Dnaja1/Fkbp4/Hsd3b3/Idh1/Ptges3/Sgk1/Zfp36l2	9	1	GF	EC (Hmgcs2 high)
GO:0051131	GO:0051131	chaperone-mediated protein complex assembly	4/132	19/28943	1.51916627085716e-06	0.000220518977632844	0.000165803742581086	Hopx/Hsp90aa1/Hsp90ab1/Ptges3	4	1	GF	EC (Hmgcs2 high)
GO:00324091	GO:0032409	regulation of transporter activity	10/132	317/28943	2.06980437985062e-06	0.0002854260239814	0.000214606033068722	Abcb1a/Atp1b1/Cftr/Edn1/Glrx/Gsto1/Ndfip2/Ndufa4/Slc5a1/Slc5a3	10	1	GF	EC (Hmgcs2 high)
GO:00068141	GO:0006814	sodium ion transport	9/132	250/28943	2.3357913820637e-06	0.000306767268177699	0.000230652081336616	Atp1b1/Cftr/Edn1/Glrx/Sgk1/Slc10a2/Slc12a2/Slc5a1/Slc5a3	9	1	GF	EC (Hmgcs2 high)
GO:0032414	GO:0032414	positive regulation of ion transmembrane transporter activity	7/132	135/28943	2.98134516743635e-06	0.000368641652001615	0.000277174174437304	Abcb1a/Atp1b1/Cftr/Edn1/Glrx/Gsto1/Ndufa4	7	1	GF	EC (Hmgcs2 high)
GO:0043270	GO:0043270	positive regulation of ion transport	10/132	343/28943	4.16611208951285e-06	0.000478755714286518	0.000359966702471066	Abcb1a/Atp1b1/Cftr/Edn1/Glrx/Gsto1/Ndufa4/Rtn4/Sgk1/Slc12a2	10	1	GF	EC (Hmgcs2 high)
GO:00324111	GO:0032411	positive regulation of transporter activity	7/132	143/28943	4.36745955778961e-06	0.000481818138415349	0.000362269277004022	Abcb1a/Atp1b1/Cftr/Edn1/Glrx/Gsto1/Ndufa4	7	1	GF	EC (Hmgcs2 high)
GO:0006063	GO:0006063	uronic acid metabolic process	4/132	25/28943	4.85394383956804e-06	0.000495821374426987	0.000372798025884953	Sord/Ugt1a10/Ugt2b34/Ugt2b5	4	1	GF	EC (Hmgcs2 high)
GO:0019585	GO:0019585	glucuronate metabolic process	4/132	25/28943	4.85394383956804e-06	0.000495821374426987	0.000372798025884953	Sord/Ugt1a10/Ugt2b34/Ugt2b5	4	1	GF	EC (Hmgcs2 high)
GO:00060661	GO:0006066	alcohol metabolic process	10/132	359/28943	6.21829765657086e-06	0.00061250231917223	0.000460528059527992	Aldh1a1/Ces1f/Cftr/Cyp2d26/Idh1/Nudt4/Qdpr/Saa1/Slc5a3/Sord	10	1	GF	EC (Hmgcs2 high)
GO:00973051	GO:0097305	response to alcohol	8/132	234/28943	1.2607887887536e-05	0.00112169531592982	0.000843379936789337	Aldh1a1/Ces1f/Cftr/Ctnnb1/Eef1b2/Hpgd/Hsd3b3/Sgk1	8	1	GF	EC (Hmgcs2 high)
GO:0030004	GO:0030004	cellular monovalent inorganic cation homeostasis	6/132	113/28943	1.36015456547932e-05	0.0011271470861319	0.000847479012129247	Atp1b1/Atp6ap2/Cftr/Sgk1/Slc12a2/Slc26a3	6	1	GF	EC (Hmgcs2 high)
GO:0055067	GO:0055067	monovalent inorganic cation homeostasis	7/132	171/28943	1.40854219389898e-05	0.0011271470861319	0.000847479012129247	Atp1b1/Atp6ap2/Cftr/Edn1/Sgk1/Slc12a2/Slc26a3	7	1	GF	EC (Hmgcs2 high)
GO:00714661	GO:0071466	cellular response to xenobiotic stimulus	7/132	171/28943	1.40854219389898e-05	0.0011271470861319	0.000847479012129247	Akr1c12/Akr1c13/Cyp2c65/Cyp2d26/Cyp2j6/Gsto1/Tfrc	7	1	GF	EC (Hmgcs2 high)
GO:00068051	GO:0006805	xenobiotic metabolic process	6/132	114/28943	1.43038970321307e-05	0.0011271470861319	0.000847479012129247	Akr1c12/Akr1c13/Cyp2c65/Cyp2d26/Cyp2j6/Gsto1	6	1	GF	EC (Hmgcs2 high)
GO:0051973	GO:0051973	positive regulation of telomerase activity	4/132	34/28943	1.72378949263672e-05	0.00128492200559245	0.000966106771122144	Ctnnb1/Hsp90aa1/Hsp90ab1/Ptges3	4	1	GF	EC (Hmgcs2 high)
GO:00082021	GO:0008202	steroid metabolic process	9/132	354/28943	3.75141941622397e-05	0.00258660368748643	0.00194481480262138	Akr1c12/Akr1c13/Ces1f/Cftr/Cyp2d26/Hsd3b3/Saa1/Ugt2b34/Ugt2b5	9	1	GF	EC (Hmgcs2 high)
GO:00605601	GO:0060560	developmental growth involved in morphogenesis	8/132	278/28943	4.31638496228432e-05	0.00290355846975125	0.00218312666898591	Areg/Auts2/Ctnnb1/Edn1/Hsp90aa1/Hsp90ab1/Rtn4/Slc12a2	8	1	GF	EC (Hmgcs2 high)
GO:00508921	GO:0050892	intestinal absorption	4/132	44/28943	4.87084071697192e-05	0.00312413458079269	0.00234897336901706	Abcb1a/Gcnt3/Isx/Slc5a1	4	1	GF	EC (Hmgcs2 high)
GO:00158501	GO:0015850	organic hydroxy compound transport	8/132	294/28943	6.39153572671089e-05	0.00391730122983748	0.00294533927055449	Aqp1/Ces1f/Cftr/Rtn4/Sdhd/Slc10a2/Slc22a1/Slc5a3	8	1	GF	EC (Hmgcs2 high)
GO:00224071	GO:0022407	regulation of cell-cell adhesion	10/132	497/28943	9.81678172668508e-05	0.00540066542679792	0.00406065069684054	Epcam/Hsp90aa1/Hspb1/Hspd1/Hsph1/Kitl/Rgcc/Sdc4/Spint2/Tfrc	10	1	GF	EC (Hmgcs2 high)
GO:0042445	GO:0042445	hormone metabolic process	7/132	239/28943	0.000117765727888478	0.00601477550956339	0.00452238760117548	Aldh1a1/Atp6ap2/Cyp2d26/Hsd3b3/Mep1a/Ugt2b34/Ugt2b5	7	1	GF	EC (Hmgcs2 high)
GO:0071383	GO:0071383	cellular response to steroid hormone stimulus	6/132	169/28943	0.00012935294420997	0.00637245440445443	0.00479131910109356	Aqp1/Dnaja1/Fkbp4/Ptges3/Sgk1/Zfp36l2	6	1	GF	EC (Hmgcs2 high)
GO:01501041	GO:0150104	transport across blood-brain barrier	3/132	22/28943	0.000134011006330079	0.00637245440445443	0.00479131910109356	Abcb1a/Slc22a1/Slc5a1	3	1	GF	EC (Hmgcs2 high)
GO:0051047	GO:0051047	positive regulation of secretion	9/132	420/28943	0.000138076664114541	0.00645449897674414	0.00485300674943168	Aqp1/Cftr/Edn1/Glrx/Rgcc/Rtn4/Sdc4/Slc12a2/Tardbp	9	1	GF	EC (Hmgcs2 high)
GO:0098754	GO:0098754	detoxification	4/132	58/28943	0.000144901681795591	0.00666064730653733	0.00500800549363709	Abcb1a/Aldh1a1/Mt1/Mt2	4	1	GF	EC (Hmgcs2 high)
GO:1903320	GO:1903320	regulation of protein modification by small protein conjugation or removal	7/132	252/28943	0.000163245576076819	0.0069106357642189	0.00519596674001421	Ctnnb1/Dnaja1/Hsp90aa1/Hsp90ab1/Ndfip2/Rpl5/Trib1	7	1	GF	EC (Hmgcs2 high)
GO:0033674	GO:0033674	positive regulation of kinase activity	9/132	440/28943	0.000195237174465992	0.00803677801757023	0.00604269023877461	Areg/Edn1/Hsp90aa1/Hsp90ab1/Kitl/Prlr/Rgcc/Sdc4/Vav3	9	1	GF	EC (Hmgcs2 high)
GO:00226001	GO:0022600	digestive system process	5/132	121/28943	0.000238054285521183	0.00937933884953463	0.00705213447333431	Abcb1a/Aqp1/Gcnt3/Isx/Slc5a1	5	1	GF	EC (Hmgcs2 high)
GO:00458611	GO:0045861	negative regulation of proteolysis	8/132	361/28943	0.000260879074058605	0.0101338660035723	0.00761944812298668	Aqp1/Hsp90ab1/Hspa1b/Igbp1/Rpl5/Spint2/Tm4sf20/Tmem59	8	1	GF	EC (Hmgcs2 high)
GO:0045860	GO:0045860	positive regulation of protein kinase activity	8/132	363/28943	0.000270729431297116	0.0102283804317458	0.00769051160281642	Areg/Edn1/Hsp90aa1/Hsp90ab1/Kitl/Prlr/Rgcc/Sdc4	8	1	GF	EC (Hmgcs2 high)
GO:0001523	GO:0001523	retinoid metabolic process	4/132	69/28943	0.000284044033773283	0.0104452459352895	0.00785356837239815	Aldh1a1/Cyp2d26/Cyp2j6/Isx	4	1	GF	EC (Hmgcs2 high)
GO:1990138	GO:1990138	neuron projection extension	6/132	200/28943	0.000321273606323476	0.011359905208207	0.00854128211143385	Auts2/Ctnnb1/Edn1/Hsp90aa1/Hsp90ab1/Rtn4	6	1	GF	EC (Hmgcs2 high)
GO:0006575	GO:0006575	cellular modified amino acid metabolic process	6/132	203/28943	0.000347809676496665	0.0121425200984532	0.00912971435973923	Eef1g/Glo1/Gsto1/Idh1/Plscr1/Serinc3	6	1	GF	EC (Hmgcs2 high)
GO:00508632	GO:0050863	regulation of T cell activation	8/132	378/28943	0.000354744711310087	0.0122298239224152	0.00919535633264304	Ctnnb1/Hsp90aa1/Hspb1/Hspd1/Hsph1/Kitl/Sdc4/Tfrc	8	1	GF	EC (Hmgcs2 high)
GO:0043281	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	6/132	211/28943	0.000427021857655015	0.0139955200092314	0.010522947375362	Aqp1/F3/Hspa1b/Hspd1/Igbp1/Rps27l	6	1	GF	EC (Hmgcs2 high)
GO:00075861	GO:0007586	digestion	5/132	138/28943	0.000436408528206636	0.0139955200092314	0.010522947375362	Abcb1a/Aqp1/Gcnt3/Isx/Slc5a1	5	1	GF	EC (Hmgcs2 high)
GO:0061180	GO:0061180	mammary gland epithelium development	4/132	79/28943	0.000476620778398064	0.0146057789646873	0.0109817886952536	Areg/Prlr/Rtn4/Slc12a2	4	1	GF	EC (Hmgcs2 high)
GO:0001666	GO:0001666	response to hypoxia	6/132	219/28943	0.000519667082263531	0.0150562452225444	0.0113204851297326	Aqp1/Atp1b1/Edn1/Rgcc/Rtn4/Sdhd	6	1	GF	EC (Hmgcs2 high)
GO:0048844	GO:0048844	artery morphogenesis	4/132	81/28943	0.000524075250675948	0.0150562452225444	0.0113204851297326	Ctnnb1/Edn1/Hpgd/Rtn4	4	1	GF	EC (Hmgcs2 high)
GO:0045765	GO:0045765	regulation of angiogenesis	7/132	308/28943	0.000547509670902589	0.0154509924890923	0.0116172875857837	Aqp1/Ctnnb1/F3/Hspb1/Rgcc/Rtn4/Slc12a2	7	1	GF	EC (Hmgcs2 high)
GO:00067661	GO:0006766	vitamin metabolic process	4/132	82/28943	0.000549020037683481	0.0154509924890923	0.0116172875857837	Cyp4f14/Gsto1/Isx/Rfk	4	1	GF	EC (Hmgcs2 high)
GO:00357251	GO:0035725	sodium ion transmembrane transport	5/132	153/28943	0.000697446938195862	0.0190451352034078	0.014319650528878	Atp1b1/Cftr/Glrx/Slc12a2/Slc5a1	5	1	GF	EC (Hmgcs2 high)
GO:0034620	GO:0034620	cellular response to unfolded protein	4/132	89/28943	0.000747816946005673	0.0199291382410131	0.0149843144669272	Hspa1b/Hspa8/Hspd1/Tmem33	4	1	GF	EC (Hmgcs2 high)
GO:0071320	GO:0071320	cellular response to cAMP	3/132	39/28943	0.00075149759864589	0.0199291382410131	0.0149843144669272	Aqp1/Cftr/Slc26a3	3	1	GF	EC (Hmgcs2 high)
GO:0033572	GO:0033572	transferrin transport	2/132	10/28943	0.000906939955132283	0.0223333963951325	0.0167920273647613	Snx3/Tfrc	2	1	GF	EC (Hmgcs2 high)
GO:1903596	GO:1903596	regulation of gap junction assembly	2/132	10/28943	0.000906939955132283	0.0223333963951325	0.0167920273647613	Cntnap2/Hopx	2	1	GF	EC (Hmgcs2 high)
GO:0002573	GO:0002573	myeloid leukocyte differentiation	6/132	246/28943	0.000952126224604097	0.0228344706735487	0.0171687749425178	Cdk6/Ctnnb1/Glo1/Kitl/Tfrc/Trib1	6	1	GF	EC (Hmgcs2 high)
GO:0032781	GO:0032781	positive regulation of ATP-dependent activity	3/132	43/28943	0.0010013953171266	0.0236870151071653	0.0178097857948611	Ahsa1/Ahsa2/Atp1b1	3	1	GF	EC (Hmgcs2 high)
GO:01202542	GO:0120254	olefinic compound metabolic process	5/132	166/28943	0.00100562861251664	0.0236870151071653	0.0178097857948611	Aldh1a1/Cyp2c65/Cyp2d26/Cyp2j6/Cyp4f14	5	1	GF	EC (Hmgcs2 high)
GO:00017631	GO:0001763	morphogenesis of a branching structure	6/132	249/28943	0.00101344009523042	0.0236870151071653	0.0178097857948611	Areg/Ctnnb1/Edn1/Rtn4/Slc12a2/Spint2	6	1	GF	EC (Hmgcs2 high)
GO:00719002	GO:0071900	regulation of protein serine/threonine kinase activity	7/132	347/28943	0.00109862590477311	0.0251906150619406	0.0189403120766471	Chordc1/Dnaja1/Edn1/Hsp90ab1/Kitl/Rgcc/Trib1	7	1	GF	EC (Hmgcs2 high)
GO:1903332	GO:1903332	regulation of protein folding	2/132	11/28943	0.00110517201685816	0.0251906150619406	0.0189403120766471	Hspa8/St13	2	1	GF	EC (Hmgcs2 high)
GO:19021051	GO:1902105	regulation of leukocyte differentiation	7/132	349/28943	0.00113560596685768	0.0256473011192899	0.0192836850520977	Cdk6/Ctnnb1/Hsp90aa1/Hspb1/Kitl/Trib1/Zfp36l2	7	1	GF	EC (Hmgcs2 high)
GO:00442822	GO:0044282	small molecule catabolic process	7/132	350/28943	0.001154459046808	0.0256774036378746	0.0193063185247178	Acad11/Aldh1a1/Ces1f/Cyp4f14/Glo1/Qdpr/Sord	7	1	GF	EC (Hmgcs2 high)
GO:0022618	GO:0022618	ribonucleoprotein complex assembly	5/132	172/28943	0.00117774433016202	0.0259857509006948	0.019538158571951	Hsp90aa1/Hsp90ab1/Ptges3/Rpl5/Rps27l	5	1	GF	EC (Hmgcs2 high)
GO:00428861	GO:0042886	amide transport	7/132	353/28943	0.00121249702321375	0.0263312345671142	0.0197979207271536	Abcb1a/Aqp1/Cdh17/Cftr/Edn1/Glrx/Tardbp	7	1	GF	EC (Hmgcs2 high)
GO:00458621	GO:0045862	positive regulation of proteolysis	7/132	357/28943	0.00129341483449255	0.0277592507367646	0.0208716170953118	F3/Hspa1b/Hspa8/Hspd1/Plgrkt/Rps27l/Trib1	7	1	GF	EC (Hmgcs2 high)
GO:0010559	GO:0010559	regulation of glycoprotein biosynthetic process	3/132	47/28943	0.00129838409900023	0.0277592507367646	0.0208716170953118	Ctnnb1/Itm2b/Tmem59	3	1	GF	EC (Hmgcs2 high)
GO:0071826	GO:0071826	ribonucleoprotein complex subunit organization	5/132	180/28943	0.00144000647328439	0.0300874079796845	0.0226221112629207	Hsp90aa1/Hsp90ab1/Ptges3/Rpl5/Rps27l	5	1	GF	EC (Hmgcs2 high)
GO:00328861	GO:0032886	regulation of microtubule-based process	6/132	268/28943	0.00147529286770783	0.0305929152566781	0.0230021919223144	Chordc1/Fkbp4/Hspa1b/Hsph1/Igbp1/Sgk1	6	1	GF	EC (Hmgcs2 high)
GO:00000411	GO:0000041	transition metal ion transport	4/132	109/28943	0.00158862495719735	0.0322163796466934	0.0242228418396191	Fkbp4/Hsd3b3/Snx3/Tfrc	4	1	GF	EC (Hmgcs2 high)
GO:00485881	GO:0048588	developmental cell growth	6/132	273/28943	0.00161994192644378	0.0322303443840867	0.0242333416421705	Auts2/Ctnnb1/Edn1/Hsp90aa1/Hsp90ab1/Rtn4	6	1	GF	EC (Hmgcs2 high)
GO:0071456	GO:0071456	cellular response to hypoxia	4/132	110/28943	0.00164281695026631	0.0323634939202462	0.0243334540753731	Aqp1/Rgcc/Rtn4/Sdhd	4	1	GF	EC (Hmgcs2 high)
GO:01100201	GO:0110020	regulation of actomyosin structure organization	4/132	111/28943	0.00169828102220195	0.0330472074033281	0.0248475243634046	Edn1/Pdlim4/Rgcc/Sdc4	4	1	GF	EC (Hmgcs2 high)
GO:00487322	GO:0048732	gland development	8/132	483/28943	0.00172363584925308	0.0332432704352448	0.0249949401768758	Areg/Ctnnb1/Edn1/Fkbp4/Prlr/Rtn4/Slc12a2/Ugt1a10	8	1	GF	EC (Hmgcs2 high)
GO:0045793	GO:0045793	positive regulation of cell size	2/132	14/28943	0.00181223637994618	0.0333649544590292	0.0250864319240821	Edn1/Hsp90ab1	2	1	GF	EC (Hmgcs2 high)
GO:0030850	GO:0030850	prostate gland development	3/132	53/28943	0.00183882272580582	0.0333649544590292	0.0250864319240821	Ctnnb1/Fkbp4/Prlr	3	1	GF	EC (Hmgcs2 high)
GO:1903202	GO:1903202	negative regulation of oxidative stress-induced cell death	3/132	53/28943	0.00183882272580582	0.0333649544590292	0.0250864319240821	Ctnnb1/Glrx/Hspb1	3	1	GF	EC (Hmgcs2 high)
GO:0048863	GO:0048863	stem cell differentiation	6/132	282/28943	0.00190722465309335	0.034379905838114	0.0258495532617399	Cdk6/Ctnnb1/Edn1/Epcam/Kitl/Zfp36l2	6	1	GF	EC (Hmgcs2 high)
GO:0032355	GO:0032355	response to estradiol	3/132	55/28943	0.00204570818044148	0.0354937350101112	0.0266870188045949	Areg/Ctnnb1/Glrx	3	1	GF	EC (Hmgcs2 high)
GO:0031115	GO:0031115	negative regulation of microtubule polymerization	2/132	15/28943	0.00208480652515366	0.0354937350101112	0.0266870188045949	Fkbp4/Sgk1	2	1	GF	EC (Hmgcs2 high)
GO:0034392	GO:0034392	negative regulation of smooth muscle cell apoptotic process	2/132	15/28943	0.00208480652515366	0.0354937350101112	0.0266870188045949	Cftr/Edn1	2	1	GF	EC (Hmgcs2 high)
GO:0110096	GO:0110096	cellular response to aldehyde	2/132	15/28943	0.00208480652515366	0.0354937350101112	0.0266870188045949	Aldh1a1/Sgk1	2	1	GF	EC (Hmgcs2 high)
GO:19029032	GO:1902903	regulation of supramolecular fiber organization	7/132	389/28943	0.0021035687013615	0.0354937350101112	0.0266870188045949	Edn1/Fkbp4/Hspa8/Pdlim4/Rgcc/Sdc4/Sgk1	7	1	GF	EC (Hmgcs2 high)
GO:0051897	GO:0051897	positive regulation of protein kinase B signaling	4/132	118/28943	0.00212344680082246	0.0354937350101112	0.0266870188045949	F3/Hsp90aa1/Hsp90ab1/Rtn4	4	1	GF	EC (Hmgcs2 high)
GO:0001655	GO:0001655	urogenital system development	7/132	391/28943	0.00216485367468671	0.035967870089072	0.0270435113451669	Aqp1/Ctnnb1/Epcam/Fkbp4/Gcnt3/Prlr/Slc5a1	7	1	GF	EC (Hmgcs2 high)
GO:00435231	GO:0043523	regulation of neuron apoptotic process	6/132	290/28943	0.0021936067689041	0.0362273501116018	0.0272386091064675	Ctnnb1/Hsp90ab1/Hspd1/Hsph1/Mt1/Trim2	6	1	GF	EC (Hmgcs2 high)
GO:00513531	GO:0051353	positive regulation of oxidoreductase activity	3/132	57/28943	0.00226651723302988	0.0369884883354818	0.0278108934853247	Edn1/Ndufa4/Rfk	3	1	GF	EC (Hmgcs2 high)
GO:0006000	GO:0006000	fructose metabolic process	2/132	16/28943	0.0023755335657502	0.0375441294700484	0.0282286687744725	Aldh1a1/Sord	2	1	GF	EC (Hmgcs2 high)
GO:00421821	GO:0042182	ketone catabolic process	2/132	16/28943	0.0023755335657502	0.0375441294700484	0.0282286687744725	Cyp4f14/Glo1	2	1	GF	EC (Hmgcs2 high)
GO:0044058	GO:0044058	regulation of digestive system process	3/132	58/28943	0.00238224171764267	0.0375441294700484	0.0282286687744725	Abcb1a/Aqp1/Isx	3	1	GF	EC (Hmgcs2 high)
GO:00514961	GO:0051496	positive regulation of stress fiber assembly	3/132	58/28943	0.00238224171764267	0.0375441294700484	0.0282286687744725	Pdlim4/Rgcc/Sdc4	3	1	GF	EC (Hmgcs2 high)
GO:00463941	GO:0046394	carboxylic acid biosynthetic process	6/132	298/28943	0.00251133245484784	0.0389115444408447	0.0292568003314622	Aldh1a1/Ces1f/Edn1/Gsto1/Ptges3/Ugdh	6	1	GF	EC (Hmgcs2 high)
GO:0071695	GO:0071695	anatomical structure maturation	6/132	299/28943	0.002553356329365	0.0389639898633092	0.0292962329799317	Atp6ap2/Cftr/Cntnap2/Ctnnb1/Edn1/Slc26a3	6	1	GF	EC (Hmgcs2 high)
GO:0051591	GO:0051591	response to cAMP	3/132	60/28943	0.00262452129386147	0.0389639898633092	0.0292962329799317	Aqp1/Cftr/Slc26a3	3	1	GF	EC (Hmgcs2 high)
GO:0043491	GO:0043491	protein kinase B signaling	5/132	207/28943	0.00264709249361531	0.0389639898633092	0.0292962329799317	Cntnap2/F3/Hsp90aa1/Hsp90ab1/Rtn4	5	1	GF	EC (Hmgcs2 high)
GO:0061158	GO:0061158	3'-UTR-mediated mRNA destabilization	2/132	17/28943	0.00268424875780593	0.0389639898633092	0.0292962329799317	Tardbp/Zfp36l2	2	1	GF	EC (Hmgcs2 high)
GO:0098760	GO:0098760	response to interleukin-7	2/132	17/28943	0.00268424875780593	0.0389639898633092	0.0292962329799317	Hspd1/Stip1	2	1	GF	EC (Hmgcs2 high)
GO:0098761	GO:0098761	cellular response to interleukin-7	2/132	17/28943	0.00268424875780593	0.0389639898633092	0.0292962329799317	Hspd1/Stip1	2	1	GF	EC (Hmgcs2 high)
GO:19015691	GO:1901569	fatty acid derivative catabolic process	2/132	17/28943	0.00268424875780593	0.0389639898633092	0.0292962329799317	Cyp4f14/Hpgd	2	1	GF	EC (Hmgcs2 high)
GO:00069791	GO:0006979	response to oxidative stress	7/132	407/28943	0.00270629495000879	0.0390783323147867	0.0293822047479599	Aldh1a1/Aqp1/Ctnnb1/Edn1/Glrx/Hspb1/Idh1	7	1	GF	EC (Hmgcs2 high)
GO:0072329	GO:0072329	monocarboxylic acid catabolic process	4/132	128/28943	0.00285068792985319	0.0404030806884548	0.0303782561567329	Acad11/Ces1f/Cyp4f14/Sord	4	1	GF	EC (Hmgcs2 high)
GO:00071592	GO:0007159	leukocyte cell-cell adhesion	7/132	411/28943	0.00285663550915471	0.0404030806884548	0.0303782561567329	Hsp90aa1/Hspb1/Hspd1/Hsph1/Kitl/Sdc4/Tfrc	7	1	GF	EC (Hmgcs2 high)
GO:0015701	GO:0015701	bicarbonate transport	2/132	18/28943	0.0030107844985699	0.0417273550103306	0.0313739511355869	Cftr/Slc26a3	2	1	GF	EC (Hmgcs2 high)
GO:0035633	GO:0035633	maintenance of blood-brain barrier	2/132	18/28943	0.0030107844985699	0.0417273550103306	0.0313739511355869	Abcb1a/Slc12a2	2	1	GF	EC (Hmgcs2 high)
GO:0035306	GO:0035306	positive regulation of dephosphorylation	3/132	65/28943	0.00329509353859602	0.0451366788962615	0.0339373525535801	Hsp90ab1/Igbp1/Rpl5	3	1	GF	EC (Hmgcs2 high)
GO:0060081	GO:0060081	membrane hyperpolarization	2/132	19/28943	0.00335497431970037	0.0451366788962615	0.0339373525535801	Cftr/Slc26a3	2	1	GF	EC (Hmgcs2 high)
GO:0071786	GO:0071786	endoplasmic reticulum tubular network organization	2/132	19/28943	0.00335497431970037	0.0451366788962615	0.0339373525535801	Rtn4/Tmem33	2	1	GF	EC (Hmgcs2 high)
GO:19044781	GO:1904478	regulation of intestinal absorption	2/132	19/28943	0.00335497431970037	0.0451366788962615	0.0339373525535801	Abcb1a/Isx	2	1	GF	EC (Hmgcs2 high)
